Year,Estimate,Lower bound,Upper bound
2022,6.492818636,4.696386205,8.958553683
2021,6.720552093,5.078839458,8.910328135
2020,6.983956912,5.49734412,8.873796944
2019,7.269612966,5.970054577,8.819551497
2018,7.566400202,6.490166301,8.828049227
2017,7.918522898,7.067982824,8.887185169
2016,8.3146476,7.68547723,8.989483083
2015,8.775871427,8.350244669,9.23227332
2014,9.300309829,9.013002651,9.601099659
2013,9.8503411,9.634130873,10.06984902
2012,10.37217073,10.16768046,10.57927101
2011,10.83595805,10.60920045,11.06086614
2010,11.21923489,10.97360497,11.4692008
2009,20.75903284,20.31433434,21.21634344
2008,11.95632539,11.70599478,12.21663824
2007,12.57475873,12.32303887,12.8313888
2006,13.34536449,13.08346635,13.62055635
2005,14.08409801,13.79456226,14.38741883
2004,28.73719029,28.15430388,29.3435455
2003,15.12262062,14.80608296,15.44646515
2002,15.58047153,15.27396529,15.89279354
2001,16.10099024,15.79319425,16.41734489
2000,16.74231137,16.42494828,17.06569103
1999,17.52238133,17.20137251,17.85613091
1998,18.35525354,18.01274022,18.71788132
1997,19.13415038,18.77267601,19.50085032
1996,19.81756223,19.44120662,20.19857209
1995,20.41159319,20.02585574,20.80108287
1994,20.92157339,20.53153133,21.31803316
1993,21.3411207,20.93112274,21.75599214
1992,21.68221243,21.2568178,22.09894963
1991,21.96752286,21.52867114,22.41760593
1990,22.2579008,21.79144435,22.74977232
1989,26.57477791,26.00701168,27.14140473
1988,23.52812685,23.0218213,24.02821908
1987,25.07787293,24.5738467,25.57487063
1986,27.37058644,26.85594015,27.88451632
1985,30.24944512,29.67990914,30.82912829
1984,33.50046374,32.88811279,34.14189656
1983,36.85164712,36.15661163,37.59335399
1982,39.98510891,39.23917539,40.77385847
1981,42.97263261,42.096133,43.85567346
1980,46.17949847,45.12069948,47.25106257
1979,49.8649105,48.6053391,51.14312948
1978,53.80820466,52.26215154,55.38333757
1977,57.66442586,55.80220237,59.5703479
1976,61.16109724,58.85090407,63.47351039
1975,64.0486497,61.21845939,66.86834653
1974,66.13330372,62.9421198,69.35692559
1973,67.58759062,64.19480148,71.06182957
1972,68.57316471,65.17533264,72.06328023
1971,69.37138896,66.16192371,72.60334604
1970,70.23461962,67.39918889,73.07326669
1969,71.41635322,69.10274106,73.74101533
1968,73.12523355,71.26127923,75.0147121
1967,75.47437549,73.93586217,77.06128763
1966,78.20431373,76.76404722,79.69953857
1965,80.76323567,79.27645545,82.2682687
1964,82.83782794,81.31008558,84.35964538
1963,84.72582822,83.11011393,86.37400795
1962,86.85810967,85.22089101,88.48871427
1961,89.72792213,88.04135822,91.43324246
1960,93.93739642,92.17520705,95.76558294
1959,99.74379039,97.89658106,101.6819033
1958,106.2755497,104.223925,108.420922
1957,112.4361486,110.0689893,114.926557
1956,117.6990209,114.3945492,121.0893796
1955,121.8913051,117.0154035,126.9098496
1954,124.9144663,117.7729245,132.3826868
1953,127.2072259,117.2027695,137.9532364
1952,128.9155362,115.7134497,143.513068
1951,130.4329017,113.4955562,150.1260464
